: 1606100448:0;chsh -s $(which zsh)
: 1606313639:0;cd -r ./* /usr/share/fonts/truetype/microsoftfonts
: 1606313649:0;sudo cd -r * /usr/share/fonts/truetype/microsoftfonts
: 1606313655:0;sudo cp -r ./* /usr/share/fonts/truetype/microsoftfonts
: 1606313662:0;ls /usr/share/fonts/truetype/microsoftfonts
: 1606313669:0;sudo fc-cache -rv
: 1606313721:0;cd ../
: 1606313726:0;cd "Convert to PDF/"
: 1606313727:0;ls
: 1606313765:0;sudo apt install libreoffice-java-common
: 1606313797:0;clear
: 1606313820:0;lowriter --headless --convert-to pdf *.pptx
: 1606314126:0;reboot
: 1606314337:0;cd "Downloads/Convert to PDF"
: 1606314337:0;ls
: 1606314339:0;lowriter --headless --convert-to pdf *.pptx
: 1606314679:0;sudo apt remove '^libreoffice.*'--purge -y
: 1606314688:0;sudo apt remove '^libreoffice.*' --purge -y
: 1606314863:0;sudo apt autoremove --purge -y
: 1606314882:0;exit
: 1606315188:0;pwd
: 1606315189:0;ls
: 1606315199:0;code -n ~/.zshrc
: 1606315215:0;which wt
: 1606315276:0;source ~/.zshrc
: 1606315278:0;wt
: 1606315294:0;source ~/.zshrc
: 1606315296:0;wt
: 1606316181:0;clear
: 1606316183:0;cd
: 1606316183:0;clear
: 1606324301:0;wt
: 1606337208:0;code -n ~/.zshrc
: 1606337251:0;wt
: 1606337300:0;[200~sudo apt-get install git libvulkan1 mesa-vulkan-drivers vulkan-utils 
: 1606337308:0;sudo apt install git libvulkan1 mesa-vulkan-drivers vulkan-utils -y
: 1606337329:0;sudo apt install build-essential kernel-package fakeroot libssl-dev ccache flex bison libelf-dev libncurses5-dev wget -y
: 1606337362:0;sudo apt update
: 1606337407:0;sudo apt-get update
: 1606337424:0;sudo apt update
: 1606337446:0;sudo apt upgrade -y
: 1606337495:0;sudo apt install build-essential fakeroot libssl-dev ccache flex bison libelf-dev libncurses5-dev wget -y
: 1606337543:0;sudo apt install cmake python3 python-minimal python-mako python3-mako pkg-config libexpat1-dev libxrandr-dev libdrm-dev libxdamage-dev libxcb-glx0-dev libxcb-dri2-0-dev libxcb-dri3-dev libxcb-present-dev libxshmfence-dev libxxf86vm-dev libx11-xcb-dev ninja-build -y
: 1606337558:0;sudo apt install cmake python3 pkg-config libexpat1-dev libxrandr-dev libdrm-dev libxdamage-dev libxcb-glx0-dev libxcb-dri2-0-dev libxcb-dri3-dev libxcb-present-dev libxshmfence-dev libxxf86vm-dev libx11-xcb-dev ninja-build -y
: 1606337933:0;wt
: 1606338198:0;rm -rf  WarThunder/linux64/
: 1606338201:0;wt
: 1606374060:0;poweroff
: 1606374235:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606386452:0;cd /home/mzamayias/Documents/Repositories/glowing-sniffle/Current\ Courses/Agile\ Programming/Assignments/python/Assignment\ 3
: 1606386453:0;cd ..
: 1606386462:0;cd Semester\ Project
: 1606386463:0;clear
: 1606386478:0;flutter create game_2048
: 1606386499:0;fld
: 1606386560:0;flutter upgrade beta; flutter upgrade; flutter config --enable-web
: 1606386607:0;flutter create .
: 1606386616:0;cd game_2048
: 1606386617:0;flutter create .
: 1606386628:0;flutter build web
: 1606386811:0;flutter upgrade beta; flutter upgrade; flutter config --enable-web
: 1606386882:0;cd
: 1606386887:0;cd Development/flutter
: 1606386889:0;clear
: 1606386889:0;ls
: 1606386912:0;git remote get-url origin
: 1606386936:0;flutter channel beta
: 1606386977:0;cd ..
: 1606387003:0;rm -rf flutter
: 1606387015:0;git clone https://github.com/flutter/flutter.git -b beta --depth 1\

: 1606387026:0;fld
: 1606387111:0;flutter upgrade beta; flutter upgrade; flutter config --enable-web
: 1606387161:0;flutter devices
: 1606387168:0;exit
: 1606387172:0;flutter build web
: 1606387193:0;flutter create .
: 1606387216:0;flutter build web
: 1606387486:0;code -n .
: 1606387499:0;cd ../../../..
: 1606387501:0;clear
: 1606387502:0;ls
: 1606387504:0;git status
: 1606389035:0;sudo apt install inkscape -y
: 1606395867:0;cd "Current Courses/Agile Programming/Semester Project"
: 1606395868:0;ls
: 1606395870:0;rm -rf game_2048
: 1606395903:0;code ~/.zshrc
: 1606395939:0;source ~/.zshrc
: 1606395941:0;clear
: 1606400354:0;flle
: 1606401392:0;flr --help
: 1606401412:0;flr 
: 1606402696:0;code ~/.zshrc
: 1606402786:0;poweroff
: 1606413827:0;sudo apt install steam-installer-y
: 1606413830:0;sudo apt install steam-installer -y
: 1606413850:0;clear
: 1606413851:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606415548:0;poweroff
: 1606423456:0;flr
: 1606423952:0;flle
: 1606423967:0;flr
: 1606424024:0;clear
: 1606424028:0;flle
: 1606424642:0;flr
: 1606427745:0;poweroff
: 1606457190:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606457346:0;clear
: 1606457487:0;flr
: 1606460180:0;cd Development/flutter
: 1606460181:0;ls
: 1606460192:0;flutter channel dev
: 1606460210:0;cd ..
: 1606460231:0;rm -rf flutter
: 1606460239:0;git clone https://github.com/flutter/flutter.git -b dev --depth 1\

: 1606460264:0;flutter upgrade
: 1606460356:0;exit
: 1606460802:0;source ~/.zshrc
: 1606460806:0;flu
: 1606460844:0;source ~/.zshrc
: 1606460848:0;flde
: 1606460939:0;flutter config --enable-windows-desktop
: 1606460947:0;flutter config --enable-linux-desktop
: 1606460954:0;flde
: 1606460962:0;clear
: 1606460964:0;cd
: 1606460974:0;cd AndroidStudioProjects/another_2048_game
: 1606460982:0;flc .
: 1606461122:0;fld --precache
: 1606461138:0;flutter --precache
: 1606461147:0;fldo --precache
: 1606461826:0;sudo apt install clang cmake ninja-build pkg-config libgtk-3-dev libblkid-dev liblzma-dev -y
: 1606462109:0;clear
: 1606462112:0;flde
: 1606462272:0;clear
: 1606462274:0;flle
: 1606462281:0;flde
: 1606466603:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606467842:0;poweroff
: 1606510516:0;wt
: 1606573826:0;ls
: 1606573882:0;cd .steam/debian-installation/steamapps/
: 1606573884:0;clear
: 1606573884:0;ls
: 1606573888:0;cd com
: 1606573892:0;cd common/
: 1606573893:0;clear
: 1606573894:0;ls
: 1606574102:0;cd WarThunder
: 1606574102:0;ls
: 1606574742:0;cp -r ~/WarThunder/* ./War\ Thunder/
: 1606574988:0;ls "War Thunder"
: 1606584179:0;fllde
: 1606584182:0;flde
: 1606584250:0;[200~adb kill-server
: 1606584256:0;adb kill-server
: 1606584263:0;sudo apt install adb fastboot -y
: 1606584298:0;clear
: 1606584300:0;adb kill-server
: 1606584322:0;flde
: 1606584328:0;adb kill-server
: 1606584346:0;sudo adb start-server anaconda3/translations
: 1606584349:0;sudo adb start-server
: 1606584356:0;adb kill-server
: 1606584358:0;sudo adb start-server
: 1606584367:0;flde
: 1606584386:0;adb kill-server
: 1606584388:0;sudo adb start-server
: 1606584394:0;adb kill-server
: 1606584395:0;sudo adb start-server
: 1606584415:0;adb kill-server
: 1606584416:0;sudo adb start-server
: 1606584476:0;adb kill-server
: 1606584478:0;sudo adb start-server
: 1606585022:0;adb kill-server
: 1606585028:0;adb kill-server; sudo adb start-server
: 1606585151:0;flde
: 1606585156:0;clear
: 1606601029:0;sudo gparted
: 1606602212:0;sudo nano /etc/sysctl.conf
: 1606602290:0;sudo swapon --show
: 1606602323:0;sudo fallocate -l 20G /swapfile
: 1606602346:0;sudo chmod 600 /swapfile
: 1606602354:0;sudo mkswap /swapfile
: 1606602365:0;sudo swapon /swapfile
: 1606602576:0;ls
: 1606602582:0;wt
: 1606604734:0;clear
: 1606604737:0;sudo swapon /swapfile
: 1606604786:0;swapoff /dev/nvme0n1p3
: 1606604791:0;sudo swapoff /dev/nvme0n1p3
: 1606604793:0;sudo swapon /swapfile
: 1606604807:0;sudo mkswap /dev/nvme0n1p3
: 1606604816:0;sudo swapon /dev/nvme0n1p3
: 1606604848:0;sudo nano /etc/fstab
: 1606604896:0;sudo swapon --show
: 1606604912:0;sudo swapoff -v /swapfile
: 1606604917:0;sudo rm /swapfile
: 1606604919:0;sudo swapon --show
: 1606604925:0;clear
: 1606604940:0;cat /proc/sys/vm/swappiness
: 1606604952:0;sudo sysctl vm.swappiness=100
: 1606604954:0;cat /proc/sys/vm/swappiness
: 1606604972:0;sudo poweroff
: 1606605170:0;sudo sysctl vm.swappiness=100
: 1606605178:0;cat /proc/sys/vm/swappiness
: 1606605189:0;sudo nano /etc/fstab
: 1606605217:0;sudo swapon --show
: 1606605223:0;sudo swapon /dev/nvme0n1p3
: 1606605226:0;sudo swapon --show
: 1606605236:0;cat /proc/sys/vm/swappiness
: 1606605239:0;sudo sysctl vm.swappiness=100
: 1606605297:0;sudo nano /etc/fstab
: 1606605329:0;poweroff -r
: 1606605358:0;poweroff
: 1606605777:0;sudo kernelstub -a "resume=UUID=0899cae1-2ad2-4b44-bd91-e1831efc7169"
: 1606605814:0;sudo echo 'sudo kernelstub -a "resume=UUID=0899cae1-2ad2-4b44-bd91-e1831efc7169"' >> /etc/initramfs-tools/conf.d/
: 1606605827:0;sudo echo 'sudo kernelstub -a "resume=UUID=0899cae1-2ad2-4b44-bd91-e1831efc7169"' >> /etc/initramfs-tools/conf.d/resume
: 1606605852:0;sudo nano /etc/initramfs-tools/conf.d/resume
: 1606605879:0;ls /etc/initramfs-tools
: 1606605885:0;ls /etc/initramfs-tools/conf.d/
: 1606605888:0;ls /etc/initramfs-tools/conf.d/resume
: 1606605897:0;sudo update-initramfs -u
: 1606606100:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606606171:0;sudo apt install pm-utils hibernate -y
: 1606606260:0;sudo apt install pm-utils -y
: 1606606267:0;sudo apt install pm-utils hibernate -y
: 1606606314:0;cat /sys/power/state
: 1606606330:0;free -h\

: 1606606363:0;cat /proc/swaps
: 1606606401:0;findmnt -no UUID -T /swapfile\

: 1606606423:0;findmnt -no UUID -T /dev/nvme0n1p3\

: 1606606497:0;sudo kernelstub -a "resume=UUID=0899cae1-2ad2-4b44-bd91-e1831efc7169"
: 1606606513:0;sudo nano /etc/initramfs-tools/conf.d/resume
: 1606606531:0;sudo update-initramfs -u\

: 1606606563:0;sudo systemctl hibernate
: 1606606620:0;clear
: 1606606662:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606606700:0;clear
: 1606607099:0;code ~/.zshrc
: 1606607240:0;source ~/.zshrc
: 1606607244:0;hibernate
: 1606607442:0;exit
: 1606607489:0;wt
: 1606607549:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606607564:0;wt
: 1606608670:0;sudo apt install lutris -y
: 1606609218:0;clear
: 1606609228:0;sudo apt-get purge '*nvidia*' -y
: 1606609357:0;sudo apt install -y nvidia-driver-455
: 1606609480:0;poweroff
: 1606609663:0;wt
: 1606611018:0;clear
: 1606611046:0;sudo apt-get purge '*nvidia*' -y
: 1606611114:0;sudo apt install -y nvidia-driver-450
: 1606611268:0;sudo apt-get purge '*nvidia*' -y
: 1606611360:0;sudo apt install -y nvidia-driver-435
: 1606611735:0;sudo apt-get purge '*nvidia*' -y
: 1606611932:0;reboot
: 1606612091:0;sudo apt install -y nvidia-driver-435
: 1606612212:0;t
: 1606612213:0;wt
: 1606613013:0;sysctl dev.i915.perf_stream_paranoid=0
: 1606613018:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606613020:0;clear
: 1606613021:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606613023:0;wt
: 1606613061:0;clear
: 1606613073:0;sudo apt purge '*nvidia*' -y
: 1606613169:0;sudo apt install nvidia-graphics-drivers-455 nvidia-driver-455 -y
: 1606613175:0;sudo apt install nvidia-driver-455 -y
: 1606613276:0;clear
: 1606613510:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606613513:0;wt
: 1606618946:0;python 2048.py
: 1606622250:0;ls
: 1606622252:0;cd Documents
: 1606622252:0;ls
: 1606622267:0;rm CONTRIBUTING.md Rakefile
: 1606622268:0;clear
: 1606622268:0;ls
: 1606622280:0;unzip 2048.zip
: 1606622284:0;clear
: 1606670385:0;dart "/home/mzamayias/AndroidStudioProjects/another_2048_game/lib/main.dart"
: 1606672442:0;poweroff
: 1606672600:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606672605:0;wt
: 1606688785:0;hibernate
: 1606715030:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606715032:0;exit
: 1606715334:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606715373:0;ls
: 1606715381:0;cd Downloads
: 1606715381:0;ls
: 1606715395:0;touch install_spotify.sh
: 1606715399:0;nano install_spotify.sh
: 1606715446:0;chmod +x install
: 1606715449:0;chmod +x install_spotify.sh
: 1606715453:0;./install_spotify.sh
: 1606715984:0;sudo apt update
: 1606716030:0;curl -sS https://download.spotify.com/debian/pubkey_0D811D58.gpg | sudo apt-key add -\
\

: 1606716036:0;./install_spotify.sh
: 1606716051:0;curl -sS https://download.spotify.com/debian/pubkey_0D811D58.gpg | sudo apt-key add -\
\

: 1606716059:0;sudo apt update
: 1606716129:0;curl -sS https://download.spotify.com/debian/pubkey_D1742AD60D811D58.gpg | sudo apt-key add -
: 1606716136:0;curl -sS https://download.spotify.com/debian/D1742AD60D811D58.gpg | sudo apt-key add -
: 1606716259:0;sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com D1742AD60D811D58
: 1606716267:0;sudo apt update
: 1606716332:0;sudo nano /etc/apt/sources.list.d/spotify.list
: 1606716341:0;sudo apt update
: 1606716411:0;sudo apt-key del 0D811D58
: 1606716421:0;sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com D1742AD60D811D58
: 1606716426:0;sudo nano /etc/apt/sources.list.d/spotify.list
: 1606716431:0;sudo nano /etc/apt/sources.list
: 1606716463:0;sudo apt update
: 1606716480:0;sudo nano /etc/apt/sources.list
: 1606716487:0;clear
: 1606716491:0;sudo apt update
: 1606716581:0;cd
: 1606716583:0;cd Repositories
: 1606716584:0;ls
: 1606716593:0;git clone https://github.com/q3aql/spotify-deb-install.git
: 1606716598:0;cd spotify-deb-install
: 1606716607:0;chmod +x spotify-deb-install 
: 1606716615:0;./spotify-deb-install
: 1606716623:0;sudo ./spotify-deb-install
: 1606716841:0;wt
: 1606722518:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606722522:0;exit
: 1606753148:0;wt
: 1606766854:0;exit
: 1606770861:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606778448:0;hibernate
: 1606783166:0;cd Repositories
: 1606783169:0;git clone https://github.com/srijankrs/pub-rep.git
: 1606783172:0;cd pub-rep
: 1606783174:0;clear
: 1606783175:0;ls
: 1606783188:0;mv flutter_2048 ../
: 1606783191:0;cd ..
: 1606783193:0;ls
: 1606783196:0;rm -rf pub-rep
: 1606783198:0;clear
: 1606783198:0;ls
: 1606783211:0;code -n flutter_2048
: 1606783450:0;exit
: 1606784512:0;cd Repositories
: 1606784516:0;git clone https://github.com/bedardjo/f2048.git
: 1606784521:0;cd f2048
: 1606784523:0;clear
: 1606784530:0;code -n .
: 1606787231:0;dart "/home/mzamayias/Repositories/f2048/lib/grid-properties.dart"
: 1606824394:0;wt
: 1606824476:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606824478:0;wt
: 1606831402:0;poweroff
: 1606891994:0;ls
: 1606891997:0;python 2048.py
: 1606892008:0;exit
: 1606892474:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606892477:0;wt
: 1606894569:0;python 2048.py
: 1606895745:0;python other_2048.py
: 1606896131:0;wt
: 1606896915:0;python other_2048.py
: 1606896956:0;ls
: 1606897162:0;python -u "/home/mzamayias/PycharmProjects/pygame-2048/main.py"
: 1606897176:0;conda install pygame
: 1606897215:0;pip install pygame
: 1606897299:0;clear
: 1606897303:0;python main.py
: 1606910474:0;poweroff
: 1606945185:0;poweroff 
: 1606945384:0;clear
: 1606945390:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606945757:0;wt
: 1606946091:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1606946093:0;wt
: 1606946817:0;clear
: 1606946819:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606947177:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1606950177:0;cd 'Documents/Repositories/glowing-sniffle/Current Courses/Agile Programming/'
: 1606950179:0;clear
: 1606950196:0;ls
: 1606950200:0;cd Assignments
: 1606950201:0;ls
: 1606950251:0;clear
: 1606950340:0;ls
: 1606950356:0;rm -rf java
: 1606950359:0;ls python
: 1606950379:0;mv -r python/* .
: 1606950385:0;mv python/* .
: 1606950386:0;ls
: 1606950391:0;rm -rf python
: 1606950393:0;clear
: 1606950418:0;cd ../../../..
: 1606950424:0;cd glowing-sniffle
: 1606950426:0;clear
: 1606950434:0;git status
: 1606950466:0;git add .
: 1606950468:0;clear
: 1606950474:0;git status
: 1606950498:0;git commit -m "changed the directory structure"
: 1606950501:0;git push
: 1606950543:0;clear
: 1606950555:0;cd 'Current Courses/Agile Programming/Assignments/Assignment 1'
: 1606950556:0;ls
: 1606978690:0;poweroff
: 1606978905:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1606982811:0;sudo apt install audacity -y
: 1606982879:0;cd Repositories
: 1606982889:0;cd noise-repellent
: 1606983079:0;sudo apt update -y
: 1606983113:0;sudo apt install lv2-dev -y
: 1606983134:0;where lv2
: 1606983139:0;which lv2
: 1606983173:0;clear
: 1606983198:0;cd
: 1606983206:0;ls -A
: 1606983232:0;ls /usr/local/lib
: 1606983256:0;cd Repositories/noise-repellent
: 1606983257:0;clear
: 1606983340:0;ls
: 1606983344:0;make
: 1606983384:0;meson build -help
: 1606983398:0;sudo apt install meson -y
: 1606983447:0;sudo apt install -y ninja-build 
: 1606983453:0;cd Repositories/noise-repellent
: 1606983454:0;clear
: 1606983455:0;ls
: 1606983477:0;sudo apt install -y fftw-dev 
: 1606983508:0;sudo apt install -y lv2 lv2-dev
: 1606983512:0;sudo apt install -ylv2-dev
: 1606983515:0;sudo apt install -y lv2-dev
: 1606983523:0;sudo apt install -y '^lv2*'
: 1606983538:0;meson --help
: 1606983546:0;meson build --help
: 1606983576:0;cd
: 1606983578:0;pwd
: 1606983584:0;meson build --buildtype release --prefix /home/mzamayias
: 1606983664:0;cd Downloads/fftw-3.3.8
: 1606983665:0;clear
: 1606983686:0;./configure
: 1606983703:0;make
: 1606983822:0;make install
: 1606983829:0;sudo make
: 1606983836:0;sudo make install
: 1606983845:0;meson build --buildtype release --prefix /home/mzamayias
: 1606983870:0;cd Repositories/noise-repellent
: 1606983872:0;meson build --buildtype release --prefix /home/mzamayias
: 1606983984:0;sudo apt install -y build-essential
: 1606983987:0;clear
: 1606984000:0;meson build --buildtype release --prefix /home/mzamayias
: 1606984153:0;cd 
: 1606984157:0;cd Downloads/fftw-3.3.8
: 1606984157:0;clear
: 1606984158:0;ls
: 1606984184:0;./configure && make && make check && make install
: 1606984774:0;./configure && make && make check && sudo make install
: 1606984938:0;clear
: 1606984942:0;meson build --buildtype release --prefix /home/mzamayias
: 1606985315:0;cmak
: 1606985316:0;cmake
: 1606985644:0;sudo ./configure --enable-long-double --enable-threads --disable-fortran && make && make check && sudo make install
: 1606985652:0;./configure --enable-long-double --enable-threads --disable-fortran && make && make check && sudo make install
: 1606985682:0;./configure --enable-long-double --enable-threads --disable-fortran && make && make check && sudo make install \

: 1606986558:0;ckear
: 1606986559:0;clear
: 1606986560:0;ls
: 1606986565:0;meson build --buildtype release --prefix /home/mzamayias
: 1606986580:0;cd
: 1606986582:0;ls
: 1606986585:0;ls -A
: 1606986595:0;ls /usr/local
: 1606986602:0;ls /usr/local/lib
: 1606986616:0;ls -A
: 1606992999:0;which youtube-dl
: 1606993006:0;sudo apt install -y youtube-dl
: 1606993663:0;youtube-dl --help
: 1606993674:0;youtube-dl --list-formats https://player.vimeo.com/video/291556680
: 1606993812:0;youtube-dl --format "bestvideo+bestaudio" --output "~/Videos/%(title)s.%(ext)s" https://player.vimeo.com/video/291556680
: 1606993871:0;vlc Videos/CRSPR-Cas9.mp4
: 1606993883:0;du -h Videos
: 1606993890:0;du -h Videos/CRSPR-Cas9.mp4
: 1607006141:0;clear
: 1607006144:0;cd Downloads
: 1607006148:0;rm -rf fftw-3.3.8
: 1607006152:0;fm fftw-3.3.8.tar.gz
: 1607006156:0;rm fftw-3.3.8.tar.gz
: 1607006157:0;clear
: 1607006158:0;cd
: 1607006162:0;cd Repositories
: 1607006169:0;rm -rf noise-repellent
: 1607006171:0;clear
: 1607006172:0;cd
: 1607006173:0;clear
: 1607006176:0;exit
: 1607011729:0;sudo sysctl dev.i915.perf_stream_paranoid=0
: 1607011734:0;which youtube-dl
: 1607011739:0;wt
: 1607037070:0;sudo gnome-disks
: 1607037087:0;sudo gnome-disk-image-mounter
: 1607043584:0;poweroff
: 1607044438:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607046134:0;sudo apt install python3.8-dev -y\

: 1607046209:0;conda install -c anaconda cython
: 1607046244:0;clear
: 1607046743:0;locate * | grep "pycharm"
: 1607046797:0;cd .local/share/JetBrains/Toolbox/apps/PyCharm-P/ch-0/202.8194.22/bin/
: 1607046798:0;ls
: 1607046803:0;pwd
: 1607046819:0;cd ..
: 1607046820:0;clear
: 1607046820:0;ls
: 1607046826:0;cd plugins
: 1607046827:0;ls
: 1607046853:0;cd python/helpers/pydev
: 1607046854:0;ls
: 1607046867:0;pwd
: 1607046885:0;clear
: 1607046889:0;python /home/mzamayias/.local/share/JetBrains/Toolbox/apps/PyCharm-P/ch-0/202.8194.22/plugins/python/helpers/pydev/setup_cython.py build_ext --inplace
: 1607047030:0;clear
: 1607047031:0;ls
: 1607047041:0;clear
: 1607047310:0;ls
: 1607047313:0;python task1.py
: 1607047344:0;clear
: 1607053128:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607055009:0;xrandr --output eDP-1-1 --gamma 0.7:0.7:0.7 && clear
: 1607055061:0;cd Repositories
: 1607055065:0;git clone https://github.com/mzamayias/solid.python.git
: 1607055070:0;cd solid.python
: 1607055074:0;code -n .
: 1607057661:0;clear
: 1607057667:0;exit
: 1607057670:0;clear
: 1607057682:0;cd Assignment2
: 1607057682:0;clear
: 1607057683:0;ls
: 1607057693:0;python Human.py
: 1607095090:0;hibernate
: 1607097107:0;xrandr --output eDP-1-1 --gamma 0.7:0.7:0.7 && clear
: 1607097121:0;cd Documents/Repositories
: 1607097122:0;clear
: 1607097123:0;ls
: 1607097201:0;code -n .
: 1607097211:0;code -n
: 1607098130:0;clear
: 1607098131:0;cd 
: 1607098132:0;;s
: 1607098138:0;cd Documents/Repositories
: 1607098145:0;ls
: 1607098147:0;cd fluffy-doodle
: 1607098148:0;clear
: 1607098716:0;./studio.sh
: 1607098794:0;clear
: 1607104688:0;ls
: 1607104690:0;code -n .
: 1607104693:0;xrandr --output eDP-1-1 --gamma 0.7:0.7:0.7 && clear
: 1607104771:0;ls
: 1607104774:0;git status
: 1607104780:0;git add .
: 1607104934:0;git commit -m "updated a pubspec file"
: 1607104940:0;git push
: 1607104959:0;git pull
: 1607104969:0;git push
: 1607104993:0;clear
: 1607105477:0;ipython
: 1607105902:0;clear
: 1607105903:0;ls
: 1607105904:0;cd first_fluffy
: 1607105905:0;ls
: 1607105906:0;clear
: 1607105917:0;fllr
: 1607105926:0;code -n ~/.zshrc
: 1607105945:0;clear && flr
: 1607108838:0;ls /usr/local/
: 1607108841:0;ls /usr/local/android-studio
: 1607111545:0;clear
: 1607216112:0;xrandr --output eDP-1-1 --gamma 0.7:0.7:0.7 && clear
: 1607222410:0;poweroff
: 1607305686:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607305693:0;sudo apt install tilix -y
: 1607305788:0;sudo apt remove --purge -y '^gnome-terminal.*'
: 1607305802:0;sudo apt remove -y '^gnome-terminal.*'
: 1607305863:0;sudo apt remove -y '^gnome-terminal.*' --allow-remove-essential
: 1607305883:0;sudo apt install pop-desktop-y
: 1607305887:0;sudo apt install pop-desktop -y
: 1607305899:0;clear
: 1607306183:0;sudo apt purge -y lutris albert gdebi mpv '^wine.*' vprerex 
: 1607306219:0;sudo apt install texlive-full -y
: 1607307412:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607307424:0;exit
: 1607307451:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607309357:0;exit
: 1607310396:0;conda install -c jkroes spotipy
: 1607310498:0;conda install spotipy\
\

: 1607310572:0;clear
: 1607310658:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607312687:0;exit
: 1607312716:0;sudo apt install openjdk-8
: 1607312732:0;sudo apt install openjdk-8-jdk -y
: 1607313456:0;curl -fsSL https://starship.rs/install.sh | bash\

: 1607313491:0;code ~/.zshrc
: 1607313521:0;exit
: 1607313669:0;clear
: 1607313679:0;exit
: 1607313687:0;clear
: 1607313714:0;code ~/.zshrc
: 1607313732:0;clear
: 1607313886:0;which python
: 1607313891:0;where python
: 1607313898:0;where which
: 1607313905:0;which python
: 1607313919:0;which /home/mzamayias/anaconda3/bin/python
: 1607313924:0;where /home/mzamayias/anaconda3/bin/python
: 1607313930:0;python --verion
: 1607313931:0;clear
: 1607313933:0;python --version
: 1607314055:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607314150:0;clear
: 1607314152:0;exit
: 1607314182:0;clear
: 1607314185:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607315775:0;exit
: 1607315865:0;sudo update-alternatives --config x-terminal-emulator
: 1607315890:0;exit
: 1607319895:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607364434:0;GDK_SCALE=2 steam
: 1607364454:0;clear
: 1607364455:0;GDK_SCALE=2 steam
: 1607364913:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607365412:0;clear
: 1607383668:0;cd Desktop
: 1607383669:0;ls
: 1607383681:0;cd ..
: 1607383690:0;code -n read_history.py
: 1607383897:0;ls
: 1607383899:0;ls -A
: 1607384005:0;python -u "/home/mzamayias/read_history.py"
: 1607384076:0;clear
: 1607384098:0;python -u "/home/mzamayias/read_history.py"
: 1607384174:0;clear
: 1607384176:0;python -u "/home/mzamayias/read_history.py"
: 1607384288:0;ls -A
: 1607384293:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607384337:0;python -u "/home/mzamayias/read_history.py"
: 1607384972:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607385002:0;python -u "/home/mzamayias/read_history.py"
: 1607385235:0;clear
: 1607385236:0;python -u "/home/mzamayias/read_history.py"
: 1607387453:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8 && clear
: 1607431330:0;ls
: 1607431347:0;cd Documents/Repositories/
: 1607431373:0;git clone https://github.com/mzamayias/expert-palm-tree.git
: 1607431380:0;cd expert-palm-tree
: 1607431381:0;clear
: 1607431391:0;exit
: 1607431513:0;lear
: 1607431514:0;clear
: 1607431517:0;ls
: 1607431533:0;exit
: 1607431543:0;pwd
: 1607431548:0;ls *.py
: 1607431566:0;ls
: 1607431568:0;cd Scripts
: 1607431569:0;ls
: 1607431576:0;cd ..
: 1607431584:0;mkdir python-scripts
: 1607431587:0;cd python
: 1607431589:0;cd python-scripts
: 1607431591:0;pwd
